keyword,category,era,geo,surge_number,rough_peak_date,rel_to_anchor,data_mode,event_start_date,event_end_date,peak_value,peak_width_days,time_to_peak_days,tight_pad_days,width_truncated,possible_weekly_resolution,never_decays_in_scope
Best girl,age_proxy,ai_gen,global,1,2/1/2026,1,plain text (no entity match found),2/2/2025,9/13/2026,100,588,378,360,1,1,1
Fursona,age_proxy,baseline,global,1,3/1/2016,1,plain text (no entity match found),1/22/2016,3/31/2016,100,69,62,45,0,0,0
Fursona,age_proxy,reels_covid,global,2,1/1/2020,1,plain text (no entity match found),1/1/2020,2/15/2020,100,45,18,45,1,0,1
Fursona,age_proxy,ai_gen,global,3,1/1/2023,1,plain text (no entity match found),1/1/2023,2/15/2023,100,45,35,45,1,0,1
Cosplay,age_proxy,baseline,global,1,10/1/2015,1,plain text (no entity match found),12/28/2014,9/25/2016,100,637,301,360,1,1,1
Cosplay,age_proxy,reels_covid,global,2,10/1/2022,0.91,plain text (no entity match found),4/3/2022,12/25/2022,100,266,203,180,1,1,1
Cosplay,age_proxy,ai_gen,global,3,10/1/2025,0.95,plain text (no entity match found),10/6/2024,9/13/2026,100,707,385,360,1,1,1
Werk,age_proxy,baseline,global,1,3/1/2015,0.92,plain text (no entity match found),1/1/2015,5/30/2015,100,149,18,90,1,0,1
Werk,age_proxy,reels_covid,global,2,12/1/2020,0.84,plain text (no entity match found),12/26/2020,12/31/2020,100,5,2,45,0,0,0
Werk,age_proxy,ai_gen,global,3,9/1/2026,1,plain text (no entity match found),7/18/2026,9/15/2026,100,59,54,45,1,0,1
