keyword,category,era,sample_size_all,sample_size_shorts,sample_size_videos,above_threshold_all,above_threshold_shorts,above_threshold_videos,below_threshold_all,below_threshold_shorts,below_threshold_videos,pct_above_threshold_all,pct_above_threshold_shorts,pct_above_threshold_videos,median_views_all,median_views_shorts,median_views_videos,mean_views_all,mean_views_shorts,mean_views_videos,min_views_seen_all,min_views_seen_shorts,min_views_seen_videos,max_views_seen_all,max_views_seen_shorts,max_views_seen_videos,total_views_all,total_views_shorts,total_views_videos,error
On Wednesdays we wear pink meme,age_proxy,baseline,6,3,3,4,2,2,2,1,1,66.7,66.7,66.7,1352,1247,1457,21482,36595,6368,154,441,154,108099,108099,17495,128892,109785,19104,
On Wednesdays we wear pink meme,age_proxy,ai_gen,24,23,1,15,15,0,9,8,1,62.5,65.2,0,2354,2470,38,395728,412932,38,15,15,38,9036711,9036711,38,9497472,9497436,38,
On Wednesdays we wear pink meme,age_proxy,reels_covid,35,34,1,24,23,1,11,11,0,68.6,67.6,100,7718,6612,13315732,4129137,3858943,13315732,72,72,13315732,44080980,44080980,13315732,144519795,131204062,13315732,
Only in Ohio meme,age_proxy,ai_gen,101,90,11,98,88,10,3,2,1,97,97.8,90.9,143931,151648,143931,4268265,4672074,964379,49,49,511,124746243,124746243,7759103,431094765,420486660,10608169,
Only in Ohio meme,age_proxy,reels_covid,250,245,5,246,241,5,4,4,0,98.4,98.4,100,43811,43390,447295,1251588,1266530,519400,28,28,4271,33453991,33453991,1296793,312897000,310299850,2597000,
Peanut butter jelly time,age_proxy,baseline,172,101,71,45,24,21,127,77,50,26.2,23.8,29.6,187,188,182,3772845,48026,9071530,2,2,12,387865613,3961708,387865613,648929340,4850626,644078630,
Peanut butter jelly time,age_proxy,ai_gen,87,86,1,79,78,1,8,8,0,90.8,90.7,100,9012,8945,153287,370075,372596,153287,99,99,153287,13524362,13524362,153287,32196525,32043256,153287,
Peanut butter jelly time,age_proxy,reels_covid,241,117,124,59,23,36,182,94,88,24.5,19.7,29,129,128,149,2013710,2897667,1179655,3,5,3,235724175,235724175,79271826,485304110,339027039,146277220,
Pepega,age_proxy,baseline,450,209,241,93,20,73,357,189,168,20.7,9.6,30.3,82,49,143,23195,2334,41286,1,1,2,3087621,220497,3087621,10437750,487806,9949926,
Pepega,age_proxy,reels_covid,500,191,309,74,14,60,426,177,249,14.8,7.3,19.4,67,43,89,14488,708,23005,0,4,0,1550387,34352,1550387,7244000,135228,7108545,
PogChamp,age_proxy,reels_covid,317,251,66,92,61,31,225,190,35,29,24.3,47,181,169,512,33510,21153,80500,1,1,14,2562313,1456699,2562313,10622670,5309403,5313000,
Poggers,age_proxy,reels_covid,500,347,153,401,272,129,99,75,24,80.2,78.4,84.3,3132,2533,5430,68434,55442,97898,1,1,66,3687699,2649723,3687699,34217000,19238374,14978394,
Press F to pay respects,age_proxy,baseline,168,61,107,47,13,34,121,48,73,28,21.3,31.8,142,81,227,42907,3766,65222,1,1,3,3094727,164536,3094727,7208376,229726,6978754,
Press F to pay respects,age_proxy,reels_covid,108,43,65,26,5,21,82,38,44,24.1,11.6,32.3,133,69,212,28659,1474,46642,1,1,1,2073903,43567,2073903,3095172,63382,3031730,
Reeee,age_proxy,baseline,398,240,158,78,47,31,320,193,127,19.6,19.6,19.6,86,121,49,20871,18709,24154,0,0,0,3810009,3810009,639265,8306658,4490160,3816332,
Reeee,age_proxy,reels_covid,188,105,83,28,20,8,160,85,75,14.9,19,9.6,27,45,12,94820,39968,164212,0,0,0,13348679,3292560,13348679,17826160,4196640,13629596,
Rekt,age_proxy,baseline,446,239,207,288,144,144,158,95,63,64.6,60.3,69.6,1834,1354,2650,55624,31520,83454,2,2,2,5617737,1388821,5617737,24808304,7533280,17274978,
Sad boi hours,age_proxy,baseline,74,47,27,17,10,7,57,37,20,23,21.3,25.9,227,245,209,10183576,8931,27894995,2,2,2,727027985,367592,727027985,753584624,419757,753164865,
Sad boi hours,age_proxy,reels_covid,100,52,48,32,12,20,68,40,28,32,23.1,41.7,188,155,329,2194964,337061,4207693,1,3,1,70566480,17387721,70566480,219496400,17527172,201969264,
Sadge,age_proxy,reels_covid,250,85,165,245,81,164,5,4,1,98,95.3,99.4,111740,146432,101422,945923,1362911,731111,145,555,145,45143700,23887726,45143700,236480750,115847435,120633315,
Sheesh (slang),age_proxy,ai_gen,2,1,1,2,1,1,0,0,0,100,100,100,7704938,15375302,34574,7704938,15375302,34574,34574,15375302,34574,15375302,15375302,34574,15409876,15375302,34574,
Sheesh (slang),age_proxy,reels_covid,12,8,4,6,4,2,6,4,2,50,50,50,1574,1574,8812,7429,5453,11381,101,101,658,27244,25265,27244,89148,43624,45524,
Sigma grindset,age_proxy,ai_gen,188,178,10,171,161,10,17,17,0,91,90.4,100,5113,5021,14996,302117,267081,925750,3,3,1733,10801815,10801815,4731312,56797996,47540418,9257500,
